type,lat,lon
2,-34.59121,-58.55916
2,-34.79158,-58.30718
2,-34.47485,-58.55545
2,-34.45033,-58.56949
2,-34.60474,-58.43179
2,-34.75141,-58.69997
2,-34.88652,-58.03304
2,-34.47191,-58.59527
2,-34.46983,-58.54066
2,-35.03710,-58.74120
2,-34.90790,-58.16436
2,-34.58888,-58.55529
2,-34.60342,-58.38107
2,-34.50976,-58.52386
2,-34.42496,-58.73761
2,-34.76823,-58.27111
2,-34.51191,-58.52860
2,-34.55006,-58.50893
2,-34.52314,-58.71368
2,-34.91528,-57.94421
2,-34.56313,-58.55917
2,-34.58656,-58.45490
2,-34.44944,-58.54406
2,-34.65282,-58.64111
2,-34.64021,-58.54116
2,-34.81945,-58.46765
2,-34.68352,-58.34330
2,-34.78886,-58.16165
2,-34.64553,-58.68195
2,-34.91278,-57.95349
2,-34.90532,-57.97586
2,-34.61141,-58.57882
2,-34.79629,-58.16997
2,-34.78972,-58.62936
2,-34.70943,-58.38656
2,-34.60874,-58.37738
2,-34.60761,-58.40655
2,-34.77634,-58.39202
2,-34.70157,-58.39713
2,-34.76992,-58.64822
2,-34.53993,-58.70943
2,-34.53119,-58.57521
2,-34.89610,-57.97640
2,-34.71340,-58.32586
2,-34.60279,-58.46554
2,-35.02365,-58.42246
2,-34.82426,-58.39201
2,-34.60582,-58.56434
2,-34.67360,-58.40552
2,-34.81035,-58.49183
2,-34.94158,-57.98931
2,-34.58232,-58.47576
2,-34.60599,-58.44104
2,-34.63343,-58.44913
2,-34.53194,-58.50005
2,-34.60032,-58.97958
2,-34.76620,-58.39634
2,-34.61830,-58.44520
2,-34.60786,-58.37496
2,-34.63934,-58.51225
2,-34.60554,-58.47442
2,-34.62014,-58.44067
2,-34.62997,-58.46046
2,-34.76060,-58.22517
2,-34.63884,-58.52316
2,-34.65647,-58.66603
2,-34.59525,-58.38064
2,-34.58577,-58.50087
2,-34.62222,-58.50931
2,-34.66598,-58.52756
2,-34.72069,-58.26086
2,-34.86193,-57.90151
2,-34.77753,-58.45970
2,-34.64855,-58.78947
2,-34.57570,-58.39925
2,-34.50265,-58.64164
2,-34.49893,-58.69445
5,-34.60979,-58.40040
2,-34.62665,-58.45668
5,-34.60855,-58.37487
2,-34.63167,-58.36126
2,-34.60205,-58.49279
2,-34.61558,-58.52303
2,-34.46584,-58.74889
2,-34.72635,-58.39563
2,-34.80996,-58.27614
2,-34.72045,-58.26249
2,-34.38904,-58.73728
2,-34.79657,-58.38716
2,-34.86696,-57.88664
2,-34.65188,-58.41712
2,-34.66652,-58.37118
2,-34.57725,-58.53876
2,-34.57742,-58.53670
2,-34.50229,-58.50721
2,-34.59900,-58.44383
2,-34.62397,-58.53116
2,-34.54355,-58.50044
5,-34.60903,-58.38186
2,-34.60875,-58.37772
2,-34.62037,-58.44121
5,-34.60444,-58.39253
5,-34.58676,-58.45503
5,-34.60461,-58.39939
5,-34.60474,-58.37796
2,-34.61433,-58.39170
2,-34.58374,-58.41804
2,-34.92796,-57.94357
2,-34.43783,-58.56077
2,-34.59614,-58.38709
2,-34.60043,-58.38808
2,-34.58579,-58.50090
2,-34.62815,-58.43482
2,-34.64635,-58.61964
2,-34.62147,-58.36835
2,-34.60155,-58.41263
2,-34.57347,-58.50301
2,-34.56326,-58.46039
2,-34.60257,-58.48897
2,-34.61588,-58.37600
2,-34.64571,-58.45765
2,-34.68584,-58.52365
2,-34.61765,-58.38021
5,-34.59972,-58.39716
5,-34.59442,-58.40229
5,-34.60142,-58.38399
5,-34.60901,-58.37349
2,-34.62381,-58.40240
5,-34.63592,-58.39911
5,-34.62231,-58.40246
2,-34.63425,-58.62856
2,-34.45961,-58.63302
2,-34.56036,-58.56721
2,-34.76382,-58.40462
2,-34.95033,-57.95238
5,-34.59262,-58.37544
2,-34.60933,-58.40844
2,-34.42119,-58.73168
2,-34.52704,-58.55009
2,-34.85027,-58.51930
2,-34.92349,-57.95368
2,-34.45133,-58.82380
2,-34.49801,-58.51000
2,-34.48020,-58.55358
2,-34.52759,-58.50550
2,-34.69467,-58.54786
5,-34.62090,-58.38006
5,-34.60779,-58.37371
2,-34.62272,-58.39147
5,-34.62805,-58.43375
2,-34.62307,-58.39650
2,-34.62224,-58.38459
2,-34.63972,-58.45823
2,-34.60458,-58.40548
2,-34.49409,-58.63137
2,-34.57774,-58.53628
2,-34.69878,-58.50538
2,-34.78316,-58.26018
2,-34.58068,-58.37437
2,-34.67614,-58.38392
2,-34.75334,-58.22933
2,-34.64344,-58.58531
2,-34.74620,-58.42530
2,-34.34867,-58.79798
2,-34.53447,-58.74499
2,-34.79520,-58.40883
2,-34.66505,-58.54906
2,-34.67508,-58.50358
2,-34.64294,-58.78883
2,-34.56913,-58.51002
2,-34.62510,-58.47191
2,-34.60288,-58.42397
2,-34.62078,-58.74072
2,-34.70339,-58.29717
2,-34.61572,-58.41677
2,-34.73148,-58.28595
2,-34.60910,-58.38160
2,-34.57420,-58.44740
2,-34.50873,-58.52174
2,-34.50027,-58.69484
2,-34.73957,-58.28365
2,-34.59239,-58.37587
2,-34.58658,-58.40840
2,-34.61634,-58.38033
2,-34.64925,-58.41636
2,-34.62872,-58.46436
2,-34.45517,-58.64032
2,-34.60590,-58.37370
2,-34.92448,-57.95273
2,-34.51556,-58.53282
2,-34.60133,-58.42533
2,-34.86093,-58.09198
2,-34.47401,-58.57169
2,-34.45066,-58.65921
2,-34.41578,-58.77500
2,-34.66530,-58.72805
2,-34.45047,-58.89312
2,-34.66342,-58.36066
2,-34.72036,-58.48700
2,-34.82854,-58.18729
2,-34.74408,-58.39628
2,-34.67263,-58.70310
2,-34.62070,-58.64201
2,-34.59220,-58.37544
2,-34.55471,-58.46333
2,-34.78309,-58.30354
2,-34.73041,-58.35115
2,-34.44546,-58.57474
2,-34.68271,-58.58566
2,-34.41780,-58.59674
2,-34.46515,-58.54438
2,-34.52377,-58.48359
2,-34.62872,-58.74405
2,-34.77648,-58.83966
2,-34.38167,-58.75277
2,-34.91219,-57.95568
2,-34.61662,-58.41694
2,-34.77290,-58.18850
2,-34.50943,-58.51421
2,-34.60207,-58.37390
